ID	SITE	CYP	GST	UGT	LPO
AEB-01	SJR	0.156742534	50.18433091	27.60349431	2.33339207
AEB-02	SJR	1.360517871	44.17936824	34.64026576	2.926339623
AEB-03	SJR	1.285592329	20.78123593	0.782155947	3.576083916
AEB-04	SJR	0.0684288	35.21726782	0.697707092	2.00996337
AEB-05	SJR	0.813946554	42.32668505	6.588982513	14.0629275
AEB-06	SJR	0.358501424	26.99850281	20.25376959	3.545384615
AEB-07	SJR	1.148977749	42.51944978	0	1.857843137
AEB-08	SJR	0.556815354	46.7781546	33.07409379	2.06244204
AEB-09	SJR	0.169769621	33.75970592	0	3.138374558
AEB-10	SJR	0.119118082	41.13251525	8.529366737	1.281420118
AEB-11	SJR	0.34934616	22.54514152	4.184088752	2.583185841
AEB-12	SJR	2.412942994	50.36447979	19.98393653	
AEB-13	LM	14.51775589	44.17936824	41.19678294	18.33913043
AEB-14	LG	2.066314378	48.59730506	4.147543492	3.645470085
AEB-15	LM	0.275631374	29.691978	35.60093034	6.274782609
AEB-16	LM	5.723423326	51.30507279	76.09737063	6.186176471
AEB-17	LG	4.601035735	71.00255609	38.81013263	7.168372093
AEB-18	LM	2.085626823	38.06945561	60.43260458	6.325475285
AEB-19	LM	1.087367062	32.69854557	43.38527216	
AEB-20	LM	3.744407876	59.64214712	24.14983827	
AEB-21	LM	4.675301633	80.67536808	0	
AEB-22	LM	5.197785116	79.09532055	62.34137458	
AEB-23	LM	2.895917916	73.24474207	37.23950785	
AEB-24	LM	5.089787868	48.40522085	71.99013102	
AEB-25	LM	3.908165224	37.61216485	25.85449582	
AEB-26	LM	0.002463766	46.45027034	16.41534372	
AEB-27	LM	2.251670175	82.83631544	64.39934107	
AEB-28	LG	4.81164654	59.06589449	18.82183662	4.921948424
AEB-29	LM	2.250280549	99.40357853	0	7.194418605
AEB-30	LM	0.931181201	36.8161402	68.02386572	9.203809524
AEB-31	LJ	0.758525396	27.50790852	63.98696861	7.673846154
AEB-32	LJ	2.870774409	31.03331232	33.67782949	7.186498423
AEB-33	LJ	2.029342745	27.58956465	73.51314247	13.49291066
AEB-34	LM	0	32.68062856	33.65042626	5.388461538
AEB-35	LJ	1.357143723	21.41000153	18.81203474	5.343259259
AEB-36	LG	5.557590389	39.14337807	12.1278582	2.060591716
AEB-37	LM	1.028107117	17.10169093	51.14189149	14.94799302
AEB-38	LJ	1.01163402	16.28781528	37.0600419	7.340979827
AEB-39	LM	0.206938062	12.89970103	27.34593186	4.782327791
AEB-40	LG	0.173630693	19.16213562	21.87141564	2.166299213
AEB-41	LM	0.1812051	12.7674321	24.64694057	
AEB-42	LM	2.211815274	16.86848605	113.9045848	
AEB-43	LJ	0	7.318054861	5.359952793	
AEB-44	LM	0.868101702	27.45955208	77.48254735	
AEB-45	LM	0.813057138	20.2864446	48.15377174	
AEB-46	LG	0.372489966	47.20535236	43.0812577	6.554677419
AEB-47	LJ	1.198545426	25.04657097	44.39200952	7.263137255
AEB-48	LM	0.719729291	19.43892202	35.90785908	
AEB-49	LM	0.926939021	36.77357818	80.34557014	
AEB-50	LJ	0.964928789	24.66950124	76.33293516	
AEB-51	LM	0.164952568	16.20710519	67.93478261	
AEB-52	LM	1.56260929	19.0347278	44.57036677	
AEB-53	LM	0.493823224	22.79317724	54.10191584	
AEB-54	LM	0.450563204	34.79125249	65.21685681	
AEB-55	LG	1.029051883	37.13979857	47.96668713	3.53751004
AEB-56	LG	0.558800045	31.59848854	14.98012203	3.114849785
AEB-57	LJ	4.685232321	20.10409453	55.39262488	30.1019898
AEB-58	LM	1.489908898	20.34305793	48.47263645	4.731167513
AEB-59	LJ	1.344219517	13.21709631	22.22577594	
AEB-60	LJ	2.241719424	16.68819202	57.87191245	18.56836165
AEB-61	LM	0.033393697	18.88112665	49.7051765	
AEB-62	LJ	1.535493664	19.16213562	43.69681717	
AEB-63	LG	0.579954334	19.2394023	22.26043332	5.50990991
AEB-64	LJ	2.124553675	20.51746461	11.52068733	
AEB-65	LG	0.949426783	14.31411531	5.009047994	
AEB-66	LJ	1.449570909	28.08010693	54.93416812	
